2018-10-25,0,SCP3,HUM,5,356.185.546.875
2018-10-25,1,SCP3,HUM,5,35.686.328.125
2018-10-25,2,SCP3,HUM,4,356.943.359.375
2018-10-25,3,SCP3,HUM,5,3.566.328.125
2018-10-25,4,SCP3,HUM,5,355.349.609.375
2018-10-25,5,SCP3,HUM,5,354.599.609.375
2018-10-25,6,SCP3,HUM,4,35.095.947.265.625
2018-10-25,7,SCP3,HUM,5,348.984.375
2018-10-25,8,SCP3,HUM,5,346.943.359.375
2018-10-25,9,SCP3,HUM,3,362.763.671.875
2018-10-25,10,SCP3,HUM,5,368.830.078.125
2018-10-25,11,SCP3,HUM,5,35.562.109.375
2018-10-25,12,SCP3,HUM,5,34.719.140.625
2018-10-25,13,SCP3,HUM,4,3.447.802.734.375
2018-10-25,14,SCP3,HUM,5,340.283.203.125
2018-10-25,15,SCP3,HUM,5,3.195.703.125
2018-10-25,16,SCP3,HUM,4,30.462.890.625
2018-10-25,17,SCP3,HUM,5,299.048.828.125
2018-10-25,18,SCP3,HUM,5,293.923.828.125
2018-10-25,19,SCP3,HUM,5,290.263.671.875
2018-10-25,20,SCP3,HUM,4,2.897.021.484.375
2018-10-25,21,SCP3,HUM,5,289.455.078.125
2018-10-25,22,SCP3,HUM,5,28.426.171.875
2018-10-25,23,SCP3,HUM,4,28.469.482.421.875
2018-10-25,0,SCP3,PM1,5,643.799.980.163.576
2018-10-25,1,SCP3,PM1,5,6.438.599.929.809.550
2018-10-25,2,SCP3,PM1,4,54.837.498.664.856
2018-10-25,3,SCP3,PM1,5,545.899.993.896.486
2018-10-25,4,SCP3,PM1,5,6.886.999.740.600.580
2018-10-25,5,SCP3,PM1,5,70.931.999.206.543
2018-10-25,6,SCP3,PM1,4,578.349.981.307.985
2018-10-25,7,SCP3,PM1,5,52.269.998.931.884.500
2018-10-25,8,SCP3,PM1,5,565.519.973.754.882
2018-10-25,9,SCP3,PM1,3,57.523.331.960.042.300
2018-10-25,10,SCP3,PM1,5,348.819.984.436.036
2018-10-25,11,SCP3,PM1,5,278.139.991.760.256
2018-10-25,12,SCP3,PM1,5,25.011.999.893.188.500
2018-10-25,13,SCP3,PM1,4,2.109.749.984.741.220
2018-10-25,14,SCP3,PM1,5,21.655.999.374.389.500
2018-10-25,15,SCP3,PM1,5,21.943.999.099.731.300
2018-10-25,16,SCP3,PM1,4,2.088.749.980.926.520
2018-10-25,17,SCP3,PM1,5,214.979.991.912.842
2018-10-25,18,SCP3,PM1,5,22.701.999.664.306.600
2018-10-25,19,SCP3,PM1,5,25.071.999.740.600.300
2018-10-25,20,SCP3,PM1,4,2.346.999.979.019.170
2018-10-25,21,SCP3,PM1,5,23.711.999.130.249
2018-10-25,22,SCP3,PM1,5,208.799.995.422.362
2018-10-25,23,SCP3,PM1,4,21.430.000.305.176
2018-10-25,0,SCP3,PM10,5,727.839.973.449.708
2018-10-25,1,SCP3,PM10,5,720.719.970.703.124
2018-10-25,2,SCP3,PM10,4,612.574.977.874.755
2018-10-25,3,SCP3,PM10,5,6.142.199.859.619.140
2018-10-25,4,SCP3,PM10,5,7.673.399.810.791.040
2018-10-25,5,SCP3,PM10,5,7.960.599.670.410.160
2018-10-25,6,SCP3,PM10,4,6.415.999.984.741.220
2018-10-25,7,SCP3,PM10,5,58.091.999.053.955.200
2018-10-25,8,SCP3,PM10,5,63.073.999.023.437.300
2018-10-25,9,SCP3,PM10,3,6.722.666.676.839.200
2018-10-25,10,SCP3,PM10,5,44.461.998.748.779.100
2018-10-25,11,SCP3,PM10,5,3.270.399.932.861.310
2018-10-25,12,SCP3,PM10,5,29.055.998.992.920.000
2018-10-25,13,SCP3,PM10,4,25.274.999.618.530.200
2018-10-25,14,SCP3,PM10,5,256.039.993.286.134
2018-10-25,15,SCP3,PM10,5,26.627.999.496.459.700
2018-10-25,16,SCP3,PM10,4,2.533.249.950.408.920
2018-10-25,17,SCP3,PM10,5,264.859.992.980.956
2018-10-25,18,SCP3,PM10,5,27.711.999.511.718.500
2018-10-25,19,SCP3,PM10,5,315.599.994.659.424
2018-10-25,20,SCP3,PM10,4,28.419.999.122.619.400
2018-10-25,21,SCP3,PM10,5,27.931.999.206.543.000
2018-10-25,22,SCP3,PM10,5,242.599.994.659.424
2018-10-25,23,SCP3,PM10,4,25.259.998.798.370.400
